,puma,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
16,Monroe County (Central)--Rochester City (East) PUMA,32.39894744536218,33.70378770696303,31.177927131234522,52.81960383012938,53.753685643002946,51.9455252918288,14.781448724508442,12.542526650034022,16.87654757693668
17,Westchester County (Northwest) PUMA,56.872447235367154,48.62792863795944,65.19177240357156,37.14126347229969,45.02400229275632,29.187000686838015,5.98628929233316,6.3480690692842305,5.621226909590428
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,16.121506339256257,9.354421810572958,20.320794347909107,68.54880520337466,71.48132192750323,66.72904334542677,15.32968845736909,19.16425626192381,12.95016230666412
19,Onondaga County (Central)--Syracuse City PUMA,25.652486371842738,22.58086884166002,28.793250141803746,62.175947836146605,65.05564608397185,59.231423709585926,12.171565792010657,12.363485074368132,11.975326148610323
20,Westchester County (Northeast) PUMA,70.04428960584104,67.74831356129333,72.14668607334303,27.86538924818857,31.270838179421574,24.747062373531186,2.090321145970387,0.980848259285105,3.1062515531257766
21,Madison & Cortland Counties PUMA,25.88105726872247,20.78498782409397,31.06248179434897,65.69473532173033,65.90746311416702,65.47844450917565,8.424207409547195,13.307549061739005,3.459073696475386
22,Erie County (West Central)--Buffalo City (West) PUMA,46.12738392210509,42.44689221085759,49.26574729780097,45.38504868431641,49.6678031296442,41.73313455087588,8.487567393578498,7.885304659498208,9.001118151323146
23,Monroe County (Central)--Rochester City (West) PUMA,19.567405604063765,18.523559226581565,20.606230442296017,60.6521688241766,58.88868030786559,62.40717388258372,19.78042557175964,22.587760465552844,16.986595675120263
24,Suffolk County (Central)--Islip Town (East) PUMA,43.74491952528044,36.66707521346571,50.750070761392585,52.36750121931393,61.46586591494055,43.36258137560147,3.887579255405625,1.8670588715937413,5.887347863005944
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,60.471983425809064,57.05963150665466,63.92241379310345,38.31114709594456,41.396296120873394,35.191570881226056,1.2168694782463745,1.5440723724719367,0.8860153256704981
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",15.901322633377918,13.747720605724254,17.800461441655596,58.0806954971021,61.444541346230075,55.114311682863736,26.01798186951999,24.807738048045668,27.085226875480668
27,St. Lawrence County PUMA,22.066176617064084,18.25923510683187,26.179030252797347,68.68264308053945,70.32874295139821,66.9042685453792,9.251180302396463,11.412021941769918,6.916701201823456
28,Columbia & Greene Counties PUMA,29.060312788876942,25.36990123728751,32.96080714008537,62.99922651725244,64.18474868744723,61.74621653084983,7.940460693870621,10.445350075265264,5.292976329064804
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,74.98320204720582,74.99848805563956,74.96949483445864,18.65073124705142,18.439673420018142,18.839990238347028,6.366066705742755,6.5618385243423045,6.1905149271943385
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",54.543850880545676,51.608047078144246,56.755502860972214,40.787346014759066,44.607910223073766,37.909170575802875,4.668803104695264,3.78404269878199,5.335326563224909
31,Monroe County (North & West) PUMA,40.53277047927508,35.45369166305447,45.68820121727653,55.9372611812657,62.25978904782545,49.51968908117621,3.529968339459223,2.2865192891200694,4.792109701547261
32,Schenectady County--Schenectady City PUMA,35.81261704287164,30.322147258973686,41.076328610628885,57.908881677697885,63.52405152019627,52.52562020496164,6.278501279430475,6.153801220830048,6.398051184409476
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",30.72356215213358,31.02481711902646,30.430150486083367,56.45134086692528,57.31865727763724,55.60660540684512,12.825096980941137,11.656525603336295,13.963244107071516
