,puma,BABS_UnEmp_Total,BABS_UnEmp_M,BABS_UnEmp_F,HS_UnEmp_Total,HS_UnEmp_M,HS_UnEmp_F,HSINC_UnEmp_Total,HSINC_UnEmp_M,HSINC_UnEmp_F
80,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",0.03417721518987342,0.016867469879518072,0.05333333333333334,0.0,0.0,0.0,0.0,0.0,0.0
81,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,0.013681592039800995,0.0,0.03133903133903134,0.13183279742765272,0.05785123966942149,0.391304347826087,0.0,0.0,0.0
82,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,0.026845637583892617,0.0,0.0661764705882353,0.01867816091954023,0.0,0.05701754385964912,0.08974358974358974,0.13725490196078433,0.0
83,Monroe County (North & West) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
84,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.0,0.0,0.0,0.11650485436893204,0.15384615384615385,0.0,0.0,0.0,#DIV/0!
85,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,0.0
86,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,0.059964726631393295,0.08217093583565813,0.03804755944931164,0.06465517241379311,0.10296067167476801,0.03414290742696234,0.02040816326530612,0.02711864406779661,0.0
87,NYC-Manhattan Community District 8--Upper East Side PUMA,0.013938901149959345,0.013226909920182441,0.014678030303030304,0.05384615384615385,0.0366412213740458,0.07572815533980583,0.6703296703296703,0.6703296703296703,#DIV/0!
88,"Chenango, Delaware & Broome (East) Counties PUMA",0.12727272727272726,0.1917808219178082,0.0,0.15512465373961218,0.14054054054054055,0.17045454545454544,#DIV/0!,#DIV/0!,#DIV/0!
89,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",0.05562362166135751,0.034753363228699555,0.0718328254244667,0.05614448370632116,0.046724793203666445,0.06944444444444445,0.0,0.0,0.0
