,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
10,Suffolk County (Northwest)--Smithtown Town PUMA,544,388,156,58105.14705882353,60035.051546391755,53305.1282051282,188,100,88,90496.8085106383,105398.0,73563.63636363637,296,228,68,39658.10810810811,43407.01754385965,27088.235294117647,60,60,0,47616.666666666664,47616.666666666664,0.0
11,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",2398,1307,1091,40387.49791492911,47585.248661055855,31764.711274060493,590,198,392,43879.15254237288,48059.09090909091,41767.857142857145,1469,815,654,39559.78216473792,49847.877300613494,26738.990825688074,339,294,45,37897.345132743365,40993.87755102041,17666.666666666668
12,Dutchess County (Southwest) PUMA,2479,1790,689,37788.42678499395,34534.8938547486,46241.00145137881,530,310,220,59470.09433962264,52746.77419354839,68943.86363636363,1324,904,420,33668.32326283988,31578.495575221237,38166.42857142857,625,576,49,28130.4,29373.26388888889,13520.408163265307
13,Ulster County (East) PUMA,730,412,318,47065.31506849315,43110.388349514564,52189.30817610063,180,58,122,84215.55555555556,95758.62068965517,78727.86885245901,422,274,148,31964.644549763034,29407.591240875914,36698.64864864865,128,80,48,44607.8125,51872.5,32500.0
14,Orange County (Northwest) PUMA,1820,1312,508,43248.79120879121,46730.18292682927,34257.48031496063,212,79,133,65951.88679245283,80567.08860759494,57270.67669172932,1281,918,363,43442.77907884465,50209.58605664488,26330.027548209368,327,315,12,27770.030581039755,28104.126984126986,19000.0
15,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",4375,2819,1556,42154.137142857144,45676.05533877262,35773.48971722365,987,447,540,58379.28064842959,72418.34451901566,46758.055555555555,2356,1466,890,37736.54499151104,40677.96725784447,32891.4606741573,1032,906,126,36721.608527131786,40569.426048565125,9053.968253968254
16,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",1458,935,523,127846.33058984911,148292.38502673796,91293.63288718929,1359,860,499,132400.99337748345,154793.46511627908,93808.75751503005,75,75,0,73746.66666666667,73746.66666666667,0.0,24,0,24,39000.0,0.0,39000.0
17,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",1745,1273,472,39275.93123209169,36747.76119402985,46094.49152542373,352,182,170,65366.47727272727,60126.37362637363,70976.4705882353,687,504,183,33457.64192139738,33360.71428571428,33724.59016393442,706,587,119,31929.320113314447,32407.325383304942,29571.428571428572
18,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",3998,2375,1623,40526.470735367686,38941.642105263156,42845.61306223044,611,223,388,67936.21931260229,50364.125560538116,78035.64432989691,2373,1431,942,39136.70459334176,41598.602375960865,35396.8152866242,1014,721,293,27262.721893491125,30135.367545076282,20193.856655290103
19,Monroe County (Central)--Greece & Gates Towns PUMA,346,214,132,46230.92485549133,48884.11214953271,41929.545454545456,150,103,47,54557.333333333336,48578.64077669903,67659.5744680851,161,89,72,42435.40372670807,52644.94382022472,29815.277777777777,35,22,13,28005.714285714286,35100.0,16000.0
