,puma,ENG_prof_mf_t,ENG_prof_m,ENG_prof_f,NO_ENG_prof_mf_t,NO_ENG_prof_m,NO_ENG_prof_f
85,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",94.73684210526315,100.0,91.46341463414635,5.263157894736842,0.0,8.536585365853659
86,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,70.24002157497303,71.94201747418586,68.83212877792378,29.75997842502697,28.05798252581414,31.167871222076215
87,NYC-Manhattan Community District 8--Upper East Side PUMA,95.3163257246663,93.56294933957531,96.88622754491017,4.6836742753337015,6.437050660424679,3.1137724550898205
88,"Chenango, Delaware & Broome (East) Counties PUMA",97.48653500897666,100.0,94.79553903345726,2.5134649910233393,0.0,5.204460966542751
89,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",80.34161490683229,80.58479532163743,80.11094301563288,19.658385093167702,19.415204678362574,19.88905698436712
90,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,87.00641898463334,92.61453396524486,81.56381755461862,12.99358101536666,7.385466034755134,18.436182445381373
91,Monroe County (Central)--Rochester City (West) PUMA,90.14925373134328,82.9896907216495,100.0,9.850746268656717,17.010309278350515,0.0
92,Erie County (Northwest) PUMA,82.12389380530973,89.25476603119584,74.68354430379746,17.876106194690266,10.74523396880416,25.31645569620253
93,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,74.68499427262314,77.56874095513749,72.79620853080569,25.31500572737686,22.431259044862518,27.20379146919431
94,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",95.03386004514672,98.40425531914893,92.54901960784314,4.966139954853273,1.5957446808510638,7.450980392156863
95,Suffolk County (Central)--Islip Town (Northwest) PUMA,79.79924717691343,85.6020942408377,74.4578313253012,20.200752823086574,14.397905759162304,25.542168674698797
96,Rensselaer County--Troy City PUMA,76.12225405921681,84.9290780141844,65.83850931677019,23.87774594078319,15.070921985815602,34.161490683229815
97,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",82.32558139534883,87.92650918635171,77.8705636743215,17.674418604651162,12.073490813648293,22.129436325678498
98,Erie County (West Central)--Buffalo City (West) PUMA,69.36671575846833,78.826895565093,59.332321699544764,30.633284241531666,21.17310443490701,40.667678300455236
99,Suffolk County (Central)--Brookhaven Town (Central) PUMA,93.43200740055504,93.24452901998097,93.60936093609361,6.567992599444958,6.755470980019029,6.390639063906391
100,Cayuga & Onondaga (South) Counties PUMA,86.82926829268293,100.0,81.63265306122449,13.170731707317074,0.0,18.367346938775512
101,Sullivan & Ulster (West) Counties PUMA,92.00273410799727,91.32420091324201,92.55583126550869,7.997265892002734,8.67579908675799,7.444168734491314
102,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,96.09929078014184,100.0,91.40625,3.900709219858156,0.0,8.59375
103,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",84.77508650519032,100.0,63.63636363636363,15.22491349480969,0.0,36.36363636363637
104,Rockland County (North)--New City & Congers PUMA,85.553772070626,86.95652173913044,84.321608040201,14.446227929373997,13.043478260869565,15.678391959798995
105,Saratoga County (Outer) PUMA,94.55645161290323,91.30434782608695,97.94238683127571,5.443548387096774,8.695652173913043,2.05761316872428
106,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,65.90038314176245,61.09589041095891,70.09569377990431,34.099616858237546,38.9041095890411,29.904306220095695
107,Putnam County PUMA,97.29941291585126,100.0,95.04666188083274,2.700587084148728,0.0,4.953338119167265
108,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,70.00798554196612,70.08155410977733,69.94565217391305,29.99201445803388,29.91844589022267,30.054347826086957
109,Orange County (Southeast) PUMA,85.05698607007176,81.93343898573693,88.6178861788618,14.94301392992824,18.066561014263076,11.38211382113821
110,Onondaga County (Central)--Syracuse City (Outer) PUMA,81.58617981939537,80.47703180212014,82.47349823321555,18.413820180604635,19.52296819787986,17.526501766784452
111,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",81.89073050951504,82.01754385964912,81.72942817294282,18.109269490484962,17.982456140350877,18.270571827057182
112,Monroe County (East) PUMA,74.14939382088384,75.90361445783132,72.48475609756098,25.850606179116152,24.096385542168676,27.515243902439025
113,NYC-Manhattan Community District 10--Central Harlem PUMA,93.25058184639255,96.69117647058823,89.4088669950739,6.749418153607448,3.308823529411765,10.591133004926109
114,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,92.13691026827013,88.0503144654088,95.36423841059603,7.863089731729881,11.949685534591195,4.635761589403973
115,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,90.32586558044807,87.9492600422833,92.5343811394892,9.674134419551935,12.050739957716702,7.465618860510806
116,Wayne & Seneca Counties PUMA,100.0,100.0,100.0,0.0,0.0,0.0
117,Schenectady County--Schenectady City PUMA,97.76496034607065,97.39583333333334,98.22294022617125,2.235039653929344,2.604166666666667,1.7770597738287561
118,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",82.03275529865125,82.73748723186925,81.40382862351869,17.967244701348747,17.262512768130744,18.596171376481312
119,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",97.59433185038722,98.75757575757575,96.20801733477789,2.4056681496127865,1.2424242424242424,3.791982665222102
120,Westchester County (Northeast) PUMA,94.13136416634279,96.7304625199362,91.66034874905232,5.86863583365721,3.269537480063796,8.33965125094769
121,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,98.23083403538332,96.48829431438128,100.0,1.7691659646166806,3.511705685618729,0.0
122,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,88.15404614884628,93.16380449141347,83.30134357005758,11.845953851153721,6.836195508586526,16.698656429942417
123,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",91.90794357832219,93.11023622047244,90.83567415730337,8.092056421677803,6.889763779527559,9.164325842696629
124,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,89.02439024390245,93.38919925512104,84.59357277882798,10.975609756097562,6.610800744878957,15.406427221172022
125,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,78.86178861788618,75.51206190259445,82.16046615867324,21.138211382113823,24.487938097405554,17.83953384132676
126,Suffolk County (Northwest)--Huntington Town (South) PUMA,95.47872340425532,97.84946236559139,93.15789473684211,4.521276595744681,2.1505376344086025,6.842105263157896
127,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",70.13251783893986,70.6896551724138,69.32668329177058,29.867482161060146,29.310344827586203,30.673316708229425
128,Suffolk County (North Central)--Brookhaven Town (North) PUMA,94.8489010989011,95.95141700404858,93.7062937062937,5.151098901098901,4.048582995951417,6.293706293706294
129,NYC-Queens Community District 1--Astoria & Long Island City PUMA,89.4821572310169,90.4848400167668,88.55631531415301,10.517842768983096,9.515159983233199,11.443684685846987
130,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,88.39533592448639,90.17142857142856,86.7170626349892,11.604664075513602,9.828571428571427,13.282937365010799
131,Westchester County (Southeast) PUMA,88.75562218890555,88.26242952332137,89.22476840565578,11.244377811094452,11.737570476678625,10.775231594344223
132,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",89.63093145869946,95.28061224489795,84.8320693391116,10.369068541300527,4.719387755102041,15.167930660888407
133,Suffolk County (South Central)--Brookhaven Town (South) PUMA,84.85788113695091,89.60645812310797,79.87288135593221,15.142118863049095,10.393541876892028,20.127118644067796
134,Onondaga County (Central)--Syracuse City PUMA,89.48207171314742,93.77104377104376,85.62783661119516,10.517928286852591,6.228956228956229,14.37216338880484
135,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,79.12705272255835,81.45631067961165,77.25856697819314,20.872947277441657,18.54368932038835,22.741433021806852
136,Suffolk County (Southwest)--Islip Town (South) PUMA,85.5324074074074,96.3718820861678,74.23167848699764,14.467592592592593,3.6281179138321997,25.768321513002363
137,Niagara County (North & East) PUMA,100.0,100.0,100.0,0.0,0.0,0.0
138,NYC-Manhattan Community District 11--East Harlem PUMA,93.19399785637728,91.01731601731602,95.32908704883228,6.806002143622722,8.982683982683982,4.670912951167728
139,Broome (Outer West) & Tioga Counties PUMA,97.0464135021097,93.42723004694837,100.0,2.9535864978902953,6.572769953051644,0.0
140,Albany County (East Central)--Albany City PUMA,89.13294797687861,96.20253164556962,83.19148936170212,10.867052023121387,3.79746835443038,16.80851063829787
141,Nassau County (West Central)--Hempstead Town (West Central) PUMA,82.70270270270271,89.98716302952504,76.2979683972912,17.2972972972973,10.012836970474968,23.702031602708804
142,Nassau County (West Central)--North Hempstead Town (South) PUMA,80.95696852922286,79.58522359040829,82.30426479949077,19.043031470777137,20.414776409591703,17.69573520050923
143,Nassau County (Central)--Hempstead Town (Northeast) PUMA,85.25829483410332,84.2809364548495,86.24472573839662,14.741705165896683,15.719063545150503,13.755274261603375
144,Nassau County (Central)--Hempstead Town (East Central) PUMA,92.67192784667418,87.59439050701187,98.22904368358914,7.328072153325817,12.405609492988134,1.770956316410862
145,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",37.94326241134752,27.27272727272727,68.4931506849315,62.056737588652474,72.72727272727273,31.506849315068493
