,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
85,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",2185,1627,558,58707.124942791765,60868.57283343577,52404.83870967742,772,461,311,78679.62176165803,78065.44034707158,79590.03215434084,1228,981,247,53488.925081433226,62380.2242609582,18175.708502024292,185,185,0,10000.0,10000.0,0.0
86,Suffolk County (South Central)--Brookhaven Town (South) PUMA,34373,18037,16336,66589.24475605853,69102.44885513112,63814.351126346715,8800,2922,5878,94948.51136363637,121947.1902806297,81527.25586934331,24529,14071,10458,57841.39630641282,60801.4767962476,53858.67565500096,1044,1044,0,33078.16091954023,33078.16091954023,0.0
87,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,2369,1709,660,67701.62093710426,78043.6161497952,40922.121212121216,1181,1026,155,85540.90601185436,92420.86744639376,40000.0,1142,637,505,50368.94045534151,57633.79905808477,41205.148514851484,46,46,0,40000.0,40000.0,0.0
88,Livingston & Wyoming Counties PUMA,32291,18459,13832,47352.94983122232,51685.478574137276,41571.12883169462,7248,3467,3781,66484.3777593819,77631.5719642342,56262.92250727321,23213,13845,9368,43241.36505406453,47502.48197905381,36943.84543125534,1830,1147,683,23734.167213114753,23750.414995640804,23706.88140556369
89,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",11887,5692,6195,70039.70556069656,70206.6988756149,69886.27118644067,5804,2045,3759,66406.44383184011,68248.1173594132,65404.52247938282,6003,3567,2436,73473.09345327337,71199.64395850855,76802.07307060756,80,80,0,76000.0,76000.0,0.0
90,Cattaraugus & Allegany Counties PUMA,36721,21262,15459,44764.14898831731,47254.344981657414,41339.18312956853,8899,4344,4555,63447.59973030678,72578.19981583794,54739.95389681668,25007,14737,10270,39513.04654696685,41714.07905272443,36354.66134371957,2815,2181,634,32348.621669627,34251.16918844567,25803.738170347002
91,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,37968,21158,16810,49007.0645280236,54012.129879950844,42707.41118381915,8489,3665,4824,68283.47143361998,82198.46930422919,57711.64987562189,27823,16255,11568,43988.237681055245,49125.533928022145,36769.46602697096,1656,1238,418,34515.157004830915,34729.9676898223,33878.94736842105
92,Orange County (Northwest) PUMA,25221,13578,11643,64695.77693192181,72816.90897039328,55224.95920295457,7683,3911,3772,91132.40531042562,96334.90411659422,85738.19194061506,16893,9245,7648,53592.062984668206,64763.84856679286,40087.4660041841,645,422,223,40606.51162790698,31280.568720379146,58254.708520179374
93,Columbia & Greene Counties PUMA,31609,17453,14156,57645.37619032554,65603.8985274738,47833.27599604408,9944,4853,5091,80527.34865245374,103526.9534308675,58602.95619721076,20510,11633,8877,47964.90692345198,52434.8264420184,42107.23273628478,1155,967,188,32544.155844155845,33706.51499482937,26565.425531914894
94,Suffolk County (East) PUMA,33590,19336,14254,85897.03069365883,98829.90934009102,68353.17342500351,14931,7977,6954,116859.6960016074,145702.04675943337,83774.35921771642,18411,11111,7300,61684.04975286513,66953.9915399154,53662.9095890411,248,248,0,19290.725806451614,19290.725806451614,0.0
95,Monroe County (East) PUMA,41881,21382,20499,67100.06107781571,76999.39425685156,56774.311429825844,24085,11290,12795,78424.05721403363,92600.59592559788,65915.02071121531,17402,9698,7704,52008.87484197219,60282.998556403385,41593.18795430945,394,394,0,41410.659898477155,41410.659898477155,0.0
