,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
56,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",3303,1739,1564,85173.59975779595,95708.68315123634,73459.71867007672,1623,735,888,107685.02772643253,124828.29931972788,93495.49549549549,1680,1004,676,63425.95238095238,74391.03585657371,47140.5325443787,0,0,0,#DIV/0!,0.0,0.0
57,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,452,229,223,50106.19469026549,45611.35371179039,54721.973094170404,118,118,0,28533.898305084746,28533.898305084746,0.0,334,111,223,57727.54491017964,63765.76576576577,54721.973094170404,0,0,0,#DIV/0!,0.0,0.0
58,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,3018,1994,1024,51311.76275679258,56622.51755265798,40970.3125,533,108,425,86147.09193245778,125000.0,76273.88235294117,2099,1500,599,40590.51929490233,50441.53333333333,15921.86978297162,386,386,0,61510.362694300515,61510.362694300515,0.0
59,Jefferson & Lewis Counties PUMA,1375,1066,309,28524.8,33933.20825515947,9866.666666666666,147,40,107,19182.312925170067,25000.0,17007.47663551402,1034,962,72,32352.804642166346,34699.3762993763,1000.0,194,64,130,15201.030927835052,28000.0,8900.0
60,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,4307,2435,1872,45683.70095193871,41112.52566735113,51629.64743589744,2368,1135,1233,49446.28378378379,45492.15859030837,53086.131386861314,1495,943,552,38181.20401337792,39443.69034994698,36024.45652173913,444,357,87,50878.37837837838,31596.638655462186,130000.0
61,Schenectady County--Schenectady City PUMA,1849,322,1527,55146.7820443483,161459.62732919256,32728.487229862476,293,160,133,209215.0170648464,300000.0,100000.0,1255,162,1093,19691.95219123506,24629.62962962963,18960.10978956999,301,0,301,53000.0,0.0,53000.0
62,NYC-Queens Community District 1--Astoria & Long Island City PUMA,6822,4008,2814,57652.67516857226,51327.53243512974,66661.62046908315,3525,1744,1781,69757.60283687944,61252.55160550459,78085.96294216732,2988,2103,885,45216.76706827309,43712.79125059439,48790.621468926554,309,161,148,39816.50485436893,43281.36645962733,36047.2972972973
63,Suffolk County (North Central)--Brookhaven Town (North) PUMA,1712,1186,526,70377.33644859813,77475.54806070826,54372.62357414448,880,754,126,99107.95454545454,95616.71087533157,120000.0,699,299,400,39035.76537911302,46173.913043478264,33700.0,133,133,0,45000.0,45000.0,0.0
64,Fulton & Montgomery Counties PUMA,2699,1842,857,35717.22860318636,39315.20086862106,27983.89731621937,229,0,229,10800.0,0.0,10800.0,1888,1260,628,41622.13983050847,45296.50793650794,34250.0,582,582,0,26365.9793814433,26365.9793814433,0.0
65,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,2983,1757,1226,28853.804894401608,27817.757541263516,30338.58075040783,738,137,601,31052.574525745258,7000.0,36535.440931780366,2005,1400,605,29776.60847880299,32199.14285714286,24170.743801652894,240,220,20,14383.333333333334,12900.0,30700.0
