,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
100,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,14707,8885,5822,62595.18188617665,64502.08553742262,59685.04122294744,7640,3866,3774,76448.18848167539,80625.26642524573,72169.28457869634,6318,4954,1364,49611.93099081988,52569.38837303189,38870.54985337243,749,65,684,30807.743658210948,15000.0,32309.941520467837
101,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,9141,5198,3943,48180.953943769826,50385.859946133125,45274.25817905148,4184,1875,2309,58262.45219885277,63435.36,54061.84495452577,3630,2404,1226,40138.12672176309,41697.3377703827,37080.75040783034,1327,919,408,38395.327807083646,46489.662676822634,20163.235294117647
102,Columbia & Greene Counties PUMA,33266,17018,16248,58081.426381290206,61354.894229639205,54652.827424913834,9864,3815,6049,89731.09286293593,98494.26998689384,84204.30815010746,22004,11946,10058,45204.31876022541,51935.17076845806,37210.00994233446,1398,1257,141,37448.78397711016,38157.836117740655,31127.659574468085
103,Madison & Cortland Counties PUMA,37984,21912,16072,52362.9873104465,56725.294359255204,46415.57117969139,12476,5344,7132,69980.84241744148,86433.84730538922,57652.62338754907,23365,15011,8354,44372.71217633212,48191.29105322764,37511.24610964807,2143,1557,586,36913.81241250583,37034.489402697494,36593.17406143345
104,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,23908,13881,10027,86153.5929396018,93792.80959585044,75578.14999501346,16561,8837,7724,94890.65273836121,104930.08826524839,83404.57146556188,6482,4247,2235,68662.9126812712,78687.9679773958,49613.06487695749,865,797,68,49945.66473988439,50794.22835633626,40000.0
105,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,29783,13453,16330,46289.5564583823,49046.77246710771,44018.10349050827,5566,2077,3489,58687.20804886813,57190.024073182474,59578.48094009745,20717,9308,11409,43867.219191967946,49027.54619681994,39657.18117275835,3500,2068,1432,40911.90857142857,40954.61798839458,40850.23044692737
106,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",11743,7150,4593,33574.24167589202,32029.874125874125,35978.38449814936,2003,257,1746,50122.21667498752,61408.56031128405,48460.93928980527,7119,5608,1511,35107.23697148476,34075.142653352355,38937.80277961615,2621,1285,1336,16764.250286150324,17228.17120622568,16318.038922155689
107,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,40513,19651,20862,75277.34302569546,86493.83329092668,64711.94899817851,26286,10912,15374,91691.87742524537,115719.08266129032,74638.09418498764,11557,7120,4437,47624.603270745,53258.13483146067,38584.54361054767,2670,1619,1051,33371.074157303374,35679.90611488573,29814.462416745955
108,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",28944,16106,12838,46228.59625483693,50873.38507388551,40401.44492911668,6111,2607,3504,60250.02290950745,72548.18181818182,51100.10844748859,21304,12369,8935,42420.14128802103,46278.24642250788,37079.24566312255,1529,1130,399,43253.04774362328,51166.37168141593,20841.879699248122
109,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,35274,21126,14148,49310.1665249192,56104.97652182145,39164.05711054566,8327,4523,3804,73793.46103038309,93566.29449480433,50283.333333333336,25239,15571,9668,42191.31756408732,46238.81471967119,35672.53620190319,1708,1032,676,35141.686182669786,40783.72093023256,26528.402366863906
110,Livingston & Wyoming Counties PUMA,33544,19177,14367,51614.824111614595,55529.68295353809,46389.290039674255,9325,3896,5429,64053.81018766756,71952.90554414784,58385.201694603056,23247,14427,8820,47148.51034542092,51885.218687183755,39400.60884353742,972,854,118,39099.23868312757,42173.48946135832,16850.0
111,Putnam County PUMA,31148,16721,14427,89092.93116733017,107391.56330363016,67884.68080682054,15197,7658,7539,111600.259919721,145902.4275267694,76756.64677012866,15681,8854,6827,68067.88278808749,75709.1190422408,58157.892192764026,270,209,61,43351.851851851854,38492.82296650718,60000.0
112,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",22669,11196,11473,47816.021880100576,48738.99607002501,46915.33164821756,10359,4380,5979,59122.78212182643,66136.50684931508,53984.78006355578,11541,6093,5448,38141.57352049216,37272.16477925488,39113.91336270191,769,723,46,40697.78933680104,39978.69986168741,52000.0
