,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
40,Albany County (Outside Albany City) PUMA,1515,893,622,75203.02310231022,84095.68868980963,62435.900321543406,743,406,337,102360.92866756393,122385.56650246306,78236.29080118694,704,463,241,50906.974431818184,53064.600431965446,46761.825726141076,68,24,44,29998.529411764706,35000.0,27270.454545454544
41,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,2857,1425,1432,109385.50717535877,139990.0098245614,78930.60754189944,2227,1158,1069,122253.89492590929,151478.55267702937,90596.12722170253,605,267,338,65793.33884297521,90163.29588014982,46542.514792899405,25,0,25,18000.0,0.0,18000.0
42,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,1743,1090,653,139850.84911072862,182164.22018348624,69220.56661562022,930,508,422,183539.60215053763,263854.7244094488,86856.94312796209,588,422,166,69829.42176870749,79452.1327014218,45366.867469879515,225,160,65,142260.0,193700.0,15638.461538461539
43,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",2851,1814,1037,77974.43002455278,84707.210584344,66196.93346190936,1143,628,515,89980.61242344706,92768.1847133758,86581.39805825242,1469,1007,462,73624.23417290674,85874.08142999007,46923.80952380953,239,179,60,47293.97489539749,49861.78770949721,39633.333333333336
44,Erie County (South) PUMA,374,220,154,53682.29946524064,66057.54545454546,36003.37662337662,244,165,79,61091.80327868852,69426.66666666667,43683.54430379747,130,55,75,39775.230769230766,55950.181818181816,27913.6,0,0,0,#DIV/0!,0.0,0.0
45,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,6657,3235,3422,159357.007360673,224176.13539412673,98080.01168907071,5150,2529,2621,189785.91650485437,267686.34638196917,114619.87790919497,1036,536,500,62002.440154440155,75151.17164179105,47907.0,471,170,301,40780.46709129512,46764.705882352944,37400.664451827244
46,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",321,174,147,34296.88473520249,37941.9540229885,29982.312925170067,54,14,40,30962.962962962964,2000.0,41100.0,156,76,80,34342.94871794872,40078.94736842105,28893.75,111,84,27,35854.05405405405,41998.80952380953,16737.037037037036
47,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,931,671,260,66486.46616541353,70535.76751117734,56036.153846153844,623,396,227,79517.01444622793,91469.9494949495,58665.19823788546,251,218,33,36168.924302788844,35899.08256880734,37951.51515151515,57,57,0,57568.42105263158,57568.42105263158,0.0
48,Dutchess County (North & East) PUMA,676,392,284,81971.15384615384,94817.85714285714,64239.08450704225,244,167,77,98751.22950819672,88114.37125748504,121820.77922077922,418,211,207,72074.64114832536,100774.88151658767,42819.80676328502,14,14,0,85000.0,85000.0,0.0
49,Oneida County (Central)--Greater Utica & Rome Cities PUMA,1526,753,773,39330.9003931848,44558.2390438247,34238.80983182406,471,208,263,47102.61995753716,50612.66346153846,44326.61596958175,876,444,432,34247.511415525114,38900.72072072072,29465.046296296296,179,101,78,43758.659217877095,56960.39603960396,26664.102564102563
50,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,1816,1049,767,61544.052863436125,65435.74833174452,56221.512385919166,1149,655,494,70263.70757180157,76107.63358778626,62515.182186234815,552,350,202,49130.434782608696,48878.857142857145,49566.33663366337,115,44,71,34008.69565217391,38272.72727272727,31366.197183098593
51,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",276,210,66,38605.07246376811,35585.71428571428,48212.121212121216,51,0,51,46215.686274509804,0.0,46215.686274509804,197,182,15,39274.1116751269,37978.02197802198,55000.0,28,28,0,20035.714285714286,20035.714285714286,0.0
52,Warren & Washington Counties PUMA,519,239,280,70480.57803468208,97577.07112970711,47351.78571428572,281,162,119,95415.65836298933,123308.64197530864,57443.6974789916,225,64,161,42256.08888888889,48201.875,39892.54658385093,13,13,0,20000.0,20000.0,0.0
53,Oswego County PUMA,244,54,190,64362.86885245902,95277.77777777778,55576.52631578947,140,20,120,83073.85714285714,194500.0,64502.833333333336,93,23,70,40023.655913978495,39260.86956521739,40274.28571428572,11,11,0,32000.0,32000.0,0.0
54,Erie County (Northeast) PUMA,418,353,65,104545.93301435407,112660.62322946175,60476.92307692308,147,122,25,145755.10204081633,161278.68852459016,70000.0,271,231,40,82192.61992619926,86983.54978354978,54525.0,0,0,0,#DIV/0!,0.0,0.0
55,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,336,128,208,42620.86309523809,46187.5,40426.00961538462,136,53,83,63103.30882352941,71245.28301886792,57904.21686746988,191,66,125,28160.0,26909.090909090908,28820.48,9,9,0,40000.0,40000.0,0.0
56,Saratoga County (South & Central) PUMA,758,335,423,92717.28232189974,124674.92537313433,67408.0378250591,595,257,338,108036.3025210084,148936.96498054476,76937.27810650888,163,78,85,36798.15950920245,44734.61538461538,29515.29411764706,0,0,0,#DIV/0!,0.0,0.0
57,Columbia & Greene Counties PUMA,334,215,119,84744.91017964072,109747.90697674418,39571.42857142857,210,168,42,117218.09523809524,128516.66666666667,72023.80952380953,118,47,71,30403.389830508473,42659.574468085106,22290.140845070422,6,0,6,16900.0,0.0,16900.0
58,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",5339,3123,2216,62384.53774115003,68745.79154658981,53419.648014440434,2589,1375,1214,75204.90536886829,87238.22545454545,61575.73311367381,2572,1608,964,51448.73522550544,55699.71828358209,44357.883817427384,178,140,38,33929.213483146064,36967.142857142855,22736.842105263157
