,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
94,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",110,85,25,28900.363636363636,23812.235294117647,46200.0,25,0,25,46200.0,0.0,46200.0,6,6,0,32000.0,32000.0,0.0,79,79,0,23190.379746835442,23190.379746835442,0.0
95,Suffolk County (Central)--Islip Town (Northwest) PUMA,4132,2736,1396,41530.324298160696,45462.09795321638,33824.49856733524,563,428,135,46438.721136767315,51518.69158878505,30333.333333333332,2459,1533,926,41592.842618950795,44916.373124592305,36090.71274298056,1110,775,335,38902.252252252256,43196.77419354839,28967.16417910448
96,Rensselaer County--Troy City PUMA,146,91,55,35979.45205479452,39681.318681318684,29854.545454545456,61,61,0,43950.81967213115,43950.81967213115,0.0,55,0,55,29854.545454545456,0.0,29854.545454545456,30,30,0,31000.0,31000.0,0.0
97,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",1756,993,763,51864.567198177676,55875.32729103726,46644.79685452163,557,291,266,65084.91921005386,67806.87285223368,62107.142857142855,1030,583,447,48131.922330097084,54110.463121783876,40334.407158836686,169,119,50,31041.420118343194,35344.53781512605,20800.0
98,Erie County (West Central)--Buffalo City (West) PUMA,363,193,170,41161.707988980714,38504.145077720204,44178.82352941176,187,153,34,39450.26737967914,37972.549019607846,46100.0,149,40,109,47144.29530201342,40537.5,49568.807339449544,27,0,27,20000.0,0.0,20000.0
99,Suffolk County (Central)--Brookhaven Town (Central) PUMA,819,616,203,46787.54578754579,46305.194805194806,48251.231527093594,107,84,23,60420.56074766355,61630.95238095238,56000.0,471,371,100,53473.673036093416,49748.24797843666,67295.0,241,161,80,27667.634854771783,30375.155279503106,22218.75
100,Cayuga & Onondaga (South) Counties PUMA,137,137,0,34014.598540145984,34014.598540145984,0.0,8,8,0,91000.0,91000.0,0.0,87,87,0,31678.16091954023,31678.16091954023,0.0,42,42,0,28000.0,28000.0,0.0
101,Sullivan & Ulster (West) Counties PUMA,283,158,125,31887.27915194346,29279.74683544304,35183.2,34,0,34,36911.76470588235,0.0,36911.76470588235,227,136,91,29555.506607929514,26222.058823529413,34537.36263736264,22,22,0,48181.818181818184,48181.818181818184,0.0
102,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,47,23,24,38595.744680851065,58000.0,20000.0,0,0,0,#DIV/0!,0.0,0.0,47,23,24,38595.744680851065,58000.0,20000.0,0,0,0,#DIV/0!,0.0,0.0
103,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",1052,437,615,42776.80608365019,46963.38672768879,39801.95121951219,347,144,203,59348.70317002882,63055.555555555555,56719.2118226601,578,229,349,35565.74394463668,42186.89956331878,31221.203438395416,127,64,63,30316.535433070865,27846.875,32825.39682539683
