,puma,BABS_UnEmp_Total,BABS_UnEmp_M,BABS_UnEmp_F,HS_UnEmp_Total,HS_UnEmp_M,HS_UnEmp_F,HSINC_UnEmp_Total,HSINC_UnEmp_M,HSINC_UnEmp_F
74,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,1.6546018614270943,3.235046335299073,0.0,5.392089776926235,5.937581500478136,4.789786907275868,20.408163265306122,25.14484356894554,10.46228710462287
75,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,0.9164327853828971,0.8260447035957239,0.9970738051370976,8.075101769543906,2.539352539352539,15.104657740901375,0.0,0.0,0.0
76,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",2.7095877721167207,7.553260167850226,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
77,Cattaraugus & Allegany Counties PUMA,0.29447049841858436,0.7062516348417474,0.0,3.432859651923998,3.30654420206659,3.5912198632601657,10.637278390033542,8.208092485549132,22.408963585434176
78,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",4.1248016922263355,5.622071837584591,2.5792584631918323,2.871862325989258,2.0563594821020565,3.9783001808318263,0.0,0.0,0.0
79,Jefferson & Lewis Counties PUMA,2.851027397260274,4.043486553499904,1.8797576510796956,4.337906984323567,2.926152137701277,6.344196322891187,7.233626588465299,9.183673469387756,2.256944444444444
80,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",3.830692835185623,4.041257011882502,3.628354489074364,1.5992757996378997,0.0,4.985888993414863,0.0,0.0,#DIV/0!
81,NYC-Queens Community District 1--Astoria & Long Island City PUMA,2.7904178105374,2.3457419683834777,3.264925373134328,4.181226653813712,4.3025018953752845,3.9695666556400924,6.110283159463488,6.902356902356903,0.0
82,Saratoga County (Outer) PUMA,2.0760028149190712,2.2412785032157476,1.8999169435215946,3.0284583777202863,3.3137317228226317,2.7664233576642334,3.1451960361912965,3.5505836575875485,0.0
83,Dutchess County (Southwest) PUMA,0.8329101066531234,1.2700825010855405,0.448558885283451,3.6743947300881175,4.185305936765486,3.013053292766709,0.0,0.0,0.0
84,Erie County (Northwest) PUMA,2.440900466642736,1.75725824055883,3.046716316858497,0.0,0.0,0.0,0.0,0.0,0.0
85,Genesee & Orleans Counties PUMA,3.8501158897759464,1.716901945822205,4.9368318756073855,4.409614158761109,4.045181786092481,4.822456813819578,1.202886928628709,0.0,4.761904761904762
86,Erie County (Northeast) PUMA,0.27520216774630596,0.5012338062924121,0.0,2.3033338807685992,4.595723765052838,0.0,0.0,0.0,0.0
87,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",4.082182553048164,3.1501624523237743,4.931753798609323,7.128625193712641,4.295027483062764,10.998603351955309,0.0,0.0,0.0
88,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,2.416972518127294,2.6541764246682282,2.0981955518254303,0.9057971014492754,0.0,2.107481559536354,0.0,0.0,#DIV/0!
89,Nassau County (West Central)--Hempstead Town (West Central) PUMA,0.7608568418588318,1.7600866504197128,0.0,3.8794596466920677,1.1612021857923498,6.676036542515812,0.0,0.0,#DIV/0!
90,Suffolk County (South Central)--Brookhaven Town (South) PUMA,7.059748427672956,5.763473053892216,8.493377483443709,4.524526297148928,5.734253957561468,3.183345780433159,6.489444878811572,12.406576980568012,0.0
91,Orange County (Northeast)--Greater Newburgh City PUMA,1.5179469976517947,0.0,2.551451931209473,7.478841614370429,8.927477017364657,5.607599947222589,4.251497005988024,4.601425793907971,0.0
92,Sullivan & Ulster (West) Counties PUMA,3.4122889305816133,5.307566684812194,1.9777503090234856,7.136215713621572,6.8700825177509115,7.544945475979958,0.0,0.0,0.0
93,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",2.110726643598616,3.879173290937997,0.0,6.005901753167853,6.319826579956644,5.665158371040723,0.0,0.0,0.0
94,Wayne & Seneca Counties PUMA,2.0508892860182115,0.0,3.7673909645146164,4.1964552921225025,3.974754934873103,4.413993016667765,2.605091770278271,3.5129740518962076,0.0
95,Albany County (East Central)--Albany City PUMA,1.8454585399535497,2.9481871785221427,0.7412060301507537,2.166646031942553,1.290619958515787,3.1835205992509366,0.0,0.0,#DIV/0!
96,Nassau County (Northwest)--North Hempstead Town (North) PUMA,3.6605958268001446,4.497354497354497,2.6498002663115847,4.191784662834712,0.0,7.876712328767123,0.0,0.0,0.0
97,Rensselaer County--Troy City PUMA,0.6550411613702752,0.3318225963094853,1.045126001172104,3.2245760225338893,3.7226450999048524,2.7394880111201205,5.7260920897284535,7.111436950146628,0.0
98,Tompkins County PUMA,1.9126506024096386,2.532228360957643,1.3157894736842104,5.881374261708676,10.28214077952298,0.0,0.0,0.0,0.0
99,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,2.880276081762676,1.9790783149561775,3.677758318739054,2.4390243902439024,2.6998033255855534,2.1823301654347063,28.506097560975608,34.12408759124087,0.0
100,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,3.5387177352206494,2.2553655874863585,5.255474452554744,5.30093870789619,7.18562874251497,0.0,0.0,#DIV/0!,0.0
101,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,15.410573678290213,0.0,29.21108742004264,19.836214740673338,21.379310344827587,16.844919786096256,0.0,0.0,#DIV/0!
102,Columbia & Greene Counties PUMA,1.0900745840504877,1.0172143974960877,1.1322463768115942,3.1590989088349177,3.576341127922971,2.6617803066833834,2.502780867630701,3.235082674335011,0.0
